file_path,file_name,creation,duration,resolution,fps,desc
./data/videos/best-examples-vortex/2024_0205_094407_006.MP4,2024_0205_094407_006.MP4,1707153817.2678301,38.48,"[1920, 1080]",60.0,
./data/videos/best-examples-vortex/2024_0205_094407_006_3sec.MP4,2024_0205_094407_006_3sec.MP4,1707154749.027676,2.5,"[1920, 1080]",60.0,
./data/videos/best-examples-vortex/2024_0205_100630_016.MP4,2024_0205_100630_016.MP4,1707153442.960823,38.83,"[1920, 1080]",60.0,
./data/videos/best-examples-vortex/2024_0205_101231_022.MP4,2024_0205_101231_022.MP4,1707154014.5381207,12.15,"[1920, 1080]",60.0,
./data/videos/best-examples-vortex/2024_0205_101231_022_7sec.MP4,2024_0205_101231_022_7sec.MP4,1707154755.1696484,6.82,"[1920, 1080]",60.0,
./data/videos/best-examples-vortex/2024_0205_102358_025.MP4,2024_0205_102358_025.MP4,1707153551.5030863,48.27,"[1920, 1080]",60.0,
./data/videos/best-examples-vortex/2024_0205_105921_045.MP4,2024_0205_105921_045.MP4,1707153625.6555178,10.62,"[1920, 1080]",60.0,
./data/videos/best-examples-vortex/2024_0205_110020_047.MP4,2024_0205_110020_047.MP4,1707153625.6523614,31.42,"[1920, 1080]",60.0,
